date,name,value,category
01-01-2016,Bitcoin,6529,Proof of Work (PoW)
01-01-2016,XRP,200,Financial Service
01-01-2016,Litecoin,154,Proof of Work (PoW)
01-01-2016,Ethereum,72,Proof of Work (PoW)
01-01-2016,Dash,21,Proof of Work (PoW)
01-01-2016,Dogecoin,16,Proof of Work (PoW)
01-01-2016,Peercoin,10,Proof of Work (PoW)
01-01-2016,BitShares,9,Exchange
01-01-2016,Stellar,8,Uncategorized
01-01-2016,Nxt,7,Proof of Stake (PoS)
01-01-2016,MaidSafeCoin,7,Uncategorized
01-01-2016,Namecoin,6,Proof of Work (PoW)
01-01-2016,Bytecoin,5,Privacy
01-01-2016,Monero,5,Privacy
01-01-2016,Factom,5,Proof of Stake (PoS)
01-01-2016,GridCoin,3,Proof of Work (PoW)
01-01-2016,Rubycoin,3,Proof of Stake (PoS)
01-01-2016,Emercoin,3,Proof of Work (PoW)
01-01-2016,Clams,2,Proof of Stake (PoS)
01-01-2016,BlackCoin,2,Proof of Stake (PoS)
01-01-2016,Counterparty,2,Proof of Work (PoW)
01-01-2016,MonaCoin,2,Proof of Work (PoW)
01-01-2016,Omni,2,Uncategorized
01-01-2016,Startcoin,2,Crowdfunding
01-01-2016,Global Currency Reserve,1,Proof of Work (PoW)
01-01-2016,NEM,1,Uncategorized
01-01-2016,CasinoCoin,1,Gambling
01-01-2016,Novacoin,1,Proof of Work (PoW)
01-01-2016,SounDAC,1,Entertainment
01-01-2016,Rimbit,1,Proof of Stake (PoS)
01-01-2016,Ixcoin,1,Proof of Work (PoW)
01-01-2016,Tether,1,Stablecoin
01-01-2016,Primecoin,1,Proof of Work (PoW)
01-01-2016,NuBits,1,Stablecoin
01-01-2016,VeriCoin,1,Proof of Work (PoW)
01-01-2016,DigiByte,1,Proof of Work (PoW)
01-01-2016,PayCoin,1,Proof of Work (PoW)
01-01-2016,GameCredits,1,Gaming
01-01-2016,MintCoin,1,Proof of Work (PoW)
01-01-2016,Quark,1,Proof of Work (PoW)
01-01-2016,DNotes,1,Proof of Work (PoW)
01-01-2016,Megacoin,1,Proof of Work (PoW)
01-01-2016,WorldCoin,1,IoT
01-01-2016,BoostCoin,1,Proof of Work (PoW)
01-01-2016,SolarCoin,1,Energy
01-01-2016,Redd,1,Social
01-01-2016,Diamond,1,Proof of Work (PoW)
07-07-2020,Aragon,43,Uncategorized
07-07-2020,Aeternity,43,Uncategorized
07-07-2020,Pundi X,42,Financial Service
07-07-2020,CyberVein,39,Uncategorized
07-07-2020,Bytecoin,38,Privacy
07-07-2020,Redd,37,Social
07-07-2020,WaykiChain,37,Proof of Stake (PoS)
07-07-2020,Power Ledger,37,Energy
07-07-2020,Ark,35,Uncategorized
07-07-2020,Dragonchain,34,Uncategorized
07-07-2020,GXChain,33,Storage
07-07-2020,PRIZM,30,Proof of Stake (PoS)
07-07-2020,Gnosis,29,Prediction
07-07-2020,Cortex,28,AI
07-07-2020,Vitae,28,Social
07-07-2020,Elastos,28,Uncategorized
07-07-2020,IoTeX,28,IoT
07-07-2020,WhiteCoin,28,Uncategorized
07-07-2020,Storj,27,Storage
07-07-2020,Wanchain,27,Financial Service
07-07-2020,Waltonchain,27,IoT
07-07-2020,Aurora,27,Business Service
07-07-2020,FunFair,26,Gaming
