date,name,category,value
2016-01-01,Bitcoin,Proof of Work (PoW),6529
2016-01-01,XRP,Financial Service,200
2016-01-01,Litecoin,Proof of Work (PoW),154
2016-01-01,Ethereum,Proof of Work (PoW),72
2016-01-01,Dash,Proof of Work (PoW),21
2016-01-01,Dogecoin,Proof of Work (PoW),16
2016-01-01,Peercoin,Proof of Work (PoW),10
2016-01-01,BitShares,Exchange,9
2016-01-01,Stellar,Uncategorized,8
2016-01-01,Nxt,Proof of Stake (PoS),7
2016-01-01,MaidSafeCoin,Uncategorized,7
2016-01-01,Namecoin,Proof of Work (PoW),6
2016-01-01,Bytecoin,Privacy,5
2016-01-01,Monero,Privacy,5
2016-01-01,Factom,Proof of Stake (PoS),5
2016-01-01,GridCoin,Proof of Work (PoW),3
2016-01-01,Rubycoin,Proof of Stake (PoS),3
2016-01-01,Emercoin,Proof of Work (PoW),3
2016-01-01,Clams,Proof of Stake (PoS),2
2016-01-01,BlackCoin,Proof of Stake (PoS),2
2016-01-01,Counterparty,Proof of Work (PoW),2
2016-01-01,MonaCoin,Proof of Work (PoW),2
2016-01-01,Omni,Uncategorized,2
2016-01-01,Startcoin,Crowdfunding,2
2016-01-01,Global Currency Reserve,Proof of Work (PoW),1
2016-01-01,NEM,Uncategorized,1
2016-01-01,CasinoCoin,Gambling,1
2016-01-01,Novacoin,Proof of Work (PoW),1
2016-01-01,SounDAC,Entertainment,1
2016-01-01,Rimbit,Proof of Stake (PoS),1
2016-01-01,Ixcoin,Proof of Work (PoW),1
2016-01-01,Tether,Stablecoin,1
2016-01-01,Primecoin,Proof of Work (PoW),1
2016-01-01,NuBits,Stablecoin,1
2016-01-01,VeriCoin,Proof of Work (PoW),1
2016-01-01,DigiByte,Proof of Work (PoW),1
2016-01-01,PayCoin,Proof of Work (PoW),1
2016-01-01,GameCredits,Gaming,1
2016-01-01,MintCoin,Proof of Work (PoW),1
2016-01-01,Quark,Proof of Work (PoW),1
2016-01-01,DNotes,Proof of Work (PoW),1
2016-01-01,Megacoin,Proof of Work (PoW),1
