date,name,category,value
01-01-2000,Coca-Cola,Beverages,72537
01-01-2000,Microsoft,Technology,70196
01-01-2000,IBM,Business Services,53183
01-01-2000,Intel,Technology,39048
01-01-2000,Nokia,Technology,38528
01-01-2000,GE,Diversified,38127
01-01-2000,Ford,Automotive,36368
01-01-2000,Disney,Media,33553
01-01-2000,McDonald's,Restaurants,27859
01-01-2000,AT&T,Telecommunications,25548
01-01-2000,Marlboro,Tobacco,22110
01-01-2000,Mercedes-Benz,Automotive,21104
01-01-2000,HP,Electronics,20572
01-01-2000,Cisco,Business Services,20067
01-01-2000,Toyota,Automotive,18823
01-01-2000,Citi,Financial Services,18809
01-01-2000,Gillette,FMCG,17358
01-01-2000,Sony,Electronics,16409
01-01-2000,American Express,Financial Services,16122
01-01-2000,Honda,Automotive,15244
01-01-2000,Compaq,Technology,14602
01-01-2000,NESCAFÉ,Beverages,13680
01-01-2000,BMW,Automotive,12969
01-01-2000,Kodak,Electronics,11822
01-01-2000,Heinz,FMCG,11742
01-01-2000,Budweiser,Alcohol,10684
01-01-2000,Xerox,Business Services,9699
01-01-2000,Dell,Electronics,9476
01-01-2000,Gap,Apparel,9316
01-01-2000,Nike,Sporting Goods,8015
01-01-2000,Volkswagen,Automotive,7834
01-01-2000,Ericsson,Electronics,7805
01-01-2000,Kellogg's,FMCG,7357
01-01-2000,Louis Vuitton,Luxury,6887
01-01-2000,Pepsi,Beverages,6636
01-01-2000,Apple,Technology,6594
01-01-2000,MTV,Media,6411
01-01-2000,Yahoo!,Media,6299
01-01-2000,SAP,Business Services,6135
01-01-2000,IKEA,Retail,6031
01-01-2000,Duracell,FMCG,5885
01-01-2000,Philips,Electronics,5481
01-01-2000,Samsung,Technology,5223
01-01-2000,Gucci,Luxury,5149
01-01-2000,Kleenex,FMCG,5144
01-01-2000,Reuters,Media,4876
01-01-2000,AOL,Media,4531
01-01-2000,Amazon,Technology,4528
01-01-2000,Motorola,Electronics,4445
01-01-2000,Colgate,FMCG,4417
01-01-2000,Wrigley,FMCG,4324
01-01-2000,Chanel,Luxury,4141
01-01-2000,adidas,Sporting Goods,3791
01-01-2000,Panasonic,Electronics,3734
01-01-2000,Rolex,Luxury,3561
01-01-2000,Hertz,Automotive,3438
01-01-2000,Bacardi,Alcohol,3187
01-01-2000,BP,Energy,3066
01-01-2000,Moët & Chandon,Alcohol,2799
01-01-2000,Shell,Energy,2786
01-01-2000,Burger King,Restaurants,2701
01-01-2000,Smirnoff,Alcohol,2443
01-01-2000,Barbie,Toys & Games,2315
01-01-2000,Heineken,Alcohol,2218
01-01-2000,Wall Street Journal,Media,2184
01-01-2000,Ralph Lauren,Apparel,1834
01-01-2000,Johnnie Walker,Alcohol,1541
01-01-2000,Hilton,Hospitality,1483
01-01-2000,Jack Daniel's,Alcohol,1480
01-01-2000,Armani,Luxury,1456
01-01-2000,Pampers,FMCG,1400
01-01-2000,Starbucks,Restaurants,1329
01-01-2000,Guinness,Alcohol,1224
01-01-2000,Financial Times,Media,1148
01-01-2000,Benetton,Apparel,1008
01-01-2001,Coca-Cola,Beverages,68945
01-01-2001,Microsoft,Technology,65068
01-01-2001,IBM,Business Services,52752
01-01-2001,GE,Diversified,42396
01-01-2001,Nokia,Technology,35035
01-01-2001,Intel,Technology,34665
01-01-2001,Disney,Media,32591
01-01-2001,Ford,Automotive,30092
01-01-2001,McDonald's,Restaurants,25289
01-01-2001,AT&T,Telecommunications,22828
01-01-2001,Marlboro,Tobacco,22053
01-01-2001,Mercedes-Benz,Automotive,21728
01-01-2001,Citi,Financial Services,19005
01-01-2001,Toyota,Automotive,18578
01-01-2001,HP,Electronics,17983
01-01-2001,Cisco,Business Services,17209
01-01-2001,American Express,Financial Services,16919
01-01-2001,Gillette,FMCG,15298
01-01-2001,Merrill Lynch,Financial Services,15015
01-01-2001,Sony,Electronics,15005
01-01-2001,Honda,Automotive,14638
01-01-2001,BMW,Automotive,13858
01-01-2001,NESCAFÉ,Beverages,13250
01-01-2001,Compaq,Technology,12354
01-01-2001,Oracle,Business Services,12224
01-01-2001,Budweiser,Alcohol,10838
01-01-2001,Kodak,Electronics,10801
01-01-2001,"Merck & Co., Inc.",Pharmaceuticals,9672
01-01-2001,Nintendo,Electronics,9460
01-01-2001,Pfizer,Pharmaceuticals,8951
01-01-2001,Gap,Apparel,8746
01-01-2001,Dell,Electronics,8269
01-01-2001,Goldman Sachs,Financial Services,7862
01-01-2001,Nike,Sporting Goods,7589
01-01-2001,Volkswagen,Automotive,7338
01-01-2001,Ericsson,Electronics,7069
01-01-2001,Heinz,FMCG,7062
01-01-2001,Louis Vuitton,Luxury,7053
01-01-2001,Kellogg's,FMCG,7005
01-01-2001,MTV,Media,6599
