date,name,category,value
2014-01-01,Apple,Technology,118863
2014-01-01,Google,Technology,107439
2014-01-01,Coca-Cola,Beverages,81563
2014-01-01,IBM,Business Services,72244
2014-01-01,Microsoft,Technology,61154
2014-01-01,GE,Diversified,45480
2014-01-01,Samsung,Technology,45462
2014-01-01,Toyota,Automotive,42392
2014-01-01,McDonald's,Restaurants,42254
2014-01-01,Mercedes-Benz,Automotive,34338
2014-01-01,BMW,Automotive,34214
2014-01-01,Intel,Technology,34153
2014-01-01,Disney,Media,32223
2014-01-01,Cisco,Business Services,30936
2014-01-01,Amazon,Technology,29478
2014-01-01,Oracle,Business Services,25980
2014-01-01,HP,Electronics,23758
2014-01-01,Gillette,FMCG,22845
2014-01-01,Louis Vuitton,Luxury,22552
2014-01-01,Honda,Automotive,21673
2014-01-01,H&M,Apparel,21083
2014-01-01,Nike,Sporting Goods,19875
2014-01-01,American Express,Financial Services,19510
2014-01-01,Pepsi,Beverages,19119
2014-01-01,SAP,Business Services,17340
2014-01-01,IKEA,Retail,15885
2014-01-01,UPS,Logistics,14470
2014-01-01,eBay,Retail,14358
2014-01-01,Facebook,Technology,14349
2014-01-01,Pampers,FMCG,14078
2014-01-01,Volkswagen,Automotive,13716
2014-01-01,Kellogg's,FMCG,13442
2014-01-01,HSBC,Financial Services,13142
2014-01-01,Budweiser,Alcohol,13024
2014-01-01,J.P. Morgan,Financial Services,12456
2014-01-01,Zara,Apparel,12126
2014-01-01,Canon,Electronics,11702
2014-01-01,NESCAFÉ,Beverages,11406
2014-01-01,Ford,Automotive,10876
2014-01-01,Hyundai,Automotive,10409
2014-01-01,Gucci,Luxury,10385
2014-01-01,Philips,Electronics,10264
2014-01-01,L'Oréal,FMCG,10162
2014-01-01,Accenture,Business Services,9882
2014-01-01,Audi,Automotive,9831
2014-01-01,Hermès,Luxury,8977
2014-01-01,Goldman Sachs,Financial Services,8758
2014-01-01,Citi,Financial Services,8737
2014-01-01,Siemens,Diversified,8672
2014-01-01,Colgate,FMCG,8215
2014-01-01,Danone,FMCG,8205
2014-01-01,Sony,Electronics,8133
2014-01-01,AXA,Financial Services,8120
2014-01-01,Nestlé,FMCG,8000
2014-01-01,Allianz,Financial Services,7702
2014-01-01,Nissan,Automotive,7623
2014-01-01,Thomson Reuters,Media,7472
2014-01-01,Cartier,Luxury,7449
2014-01-01,adidas,Sporting Goods,7378
2014-01-01,Porsche,Automotive,7171
2014-01-01,Caterpillar,Diversified,6812
2014-01-01,Xerox,Business Services,6641
2014-01-01,Morgan Stanley,Financial Services,6334
2014-01-01,Panasonic,Electronics,6303
2014-01-01,Shell,Energy,6288
2014-01-01,3M,Diversified,6177
2014-01-01,Discovery,Media,6143
2014-01-01,KFC,Restaurants,6059
2014-01-01,Visa,Financial Services,5998
2014-01-01,Prada,Luxury,5977
2014-01-01,Tiffany & Co.,Luxury,5936
2014-01-01,Sprite,Beverages,5646
2014-01-01,Burberry,Luxury,5594
2014-01-01,Kia,Automotive,5396
2014-01-01,Banco Santander,Financial Services,5382
2014-01-01,Starbucks,Restaurants,5382
2014-01-01,Adobe,Business Services,5333
2014-01-01,Johnson & Johnson,FMCG,5194
2014-01-01,John Deere,Diversified,5124
2014-01-01,MTV,Media,5102
2014-01-01,DHL,Logistics,5084
2014-01-01,Chevrolet,Automotive,5036
2014-01-01,Ralph Lauren,Apparel,4979
2014-01-01,Duracell,FMCG,4935
2014-01-01,Jack Daniel's,Alcohol,4884
2014-01-01,Johnnie Walker,Alcohol,4842
2014-01-01,Harley-Davidson,Automotive,4772
2014-01-01,Mastercard,Financial Services,4758
2014-01-01,Kleenex,FMCG,4643
2014-01-01,Smirnoff,Alcohol,4609
2014-01-01,Land Rover,Automotive,4473
2014-01-01,FedEx,Logistics,4414
2014-01-01,Corona,Alcohol,4387
2014-01-01,Huawei,Technology,4313
2014-01-01,Heineken,Alcohol,4221
2014-01-01,Pizza Hut,Restaurants,4196
2014-01-01,Hugo Boss,Apparel,4143
2014-01-01,Nokia,Technology,4138
2014-01-01,Gap,Apparel,4122
2014-01-01,Nintendo,Electronics,4103
2014-01-01,Bitcoin,Crypto,9403
2015-01-01,Apple,Technology,170276
2015-01-01,Google,Technology,120314
2015-01-01,Coca-Cola,Beverages,78423
2015-01-01,Microsoft,Technology,67670
2015-01-01,IBM,Business Services,65095
2015-01-01,Toyota,Automotive,49048
2015-01-01,Samsung,Technology,45297
2015-01-01,GE,Diversified,42267
2015-01-01,McDonald's,Restaurants,39809
2015-01-01,Amazon,Technology,37948
2015-01-01,BMW,Automotive,37212
2015-01-01,Mercedes-Benz,Automotive,36711
2015-01-01,Disney,Media,36514
2015-01-01,Intel,Technology,35415
2015-01-01,Cisco,Business Services,29854
2015-01-01,Oracle,Business Services,27283
2015-01-01,Nike,Sporting Goods,23070
2015-01-01,HP,Electronics,23056
2015-01-01,Honda,Automotive,22975
2015-01-01,Louis Vuitton,Luxury,22250
2015-01-01,H&M,Apparel,22222
2015-01-01,Gillette,FMCG,22218
2015-01-01,Facebook,Technology,22029
2015-01-01,Pepsi,Beverages,19622
2015-01-01,American Express,Financial Services,18922
2015-01-01,SAP,Business Services,18768
2015-01-01,IKEA,Retail,16541
2015-01-01,Pampers,FMCG,15267
2015-01-01,UPS,Logistics,14723
